pokedex_number,pokemon_name,type_1,type_2,shape,height,weight,bmi,hit_points,attack,defense,special_attack,special_defense,speed,total_stats,mean,standard_deviation,capture_rate,generation,base_happiness,base_experience,exp_type,exp_to_level_100,can_evolve,evolves_from,final_evolution,mega_evolution,is_default,baby_pokemon,alolan_form,galarian_form,forms_switchable,legendary,mythical,genderless,female_rate,genus,egg_group_1,egg_group_2,egg_cycles,against_normal,against_fire,against_water,against_electric,against_grass,against_ice,against_fighting,against_poison,against_ground,against_flying,against_psychic,against_bug,against_rock,against_ghost,against_dragon,against_dark,against_steel,against_fairy
201,Unown,Psychic,,Ball,0.5,5.0,20.0,48,72,48,72,48,48,336,56.0,11.31,225,2,70,118,Medium Fast,1000000,False,,True,False,True,False,False,False,False,False,False,True,0.0,Symbol ,Undiscovered,,40,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
202,Wobbuffet,Psychic,,Blob,1.3,28.5,16.9,190,33,58,33,58,33,405,67.5,55.91,45,2,70,142,Medium Fast,1000000,False,Wynaut,True,False,True,False,False,False,False,False,False,False,0.5,Patient ,Amorphous,,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,2.0,1.0,1.0
203,Girafarig,Normal,Psychic,Quadruped,1.5,41.5,18.4,70,80,65,90,65,85,455,75.83,9.75,60,2,70,159,Medium Fast,1000000,False,,True,False,True,False,False,False,False,False,False,False,0.5,Long Neck ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.0,1.0,2.0,1.0,1.0
204,Pineco,Bug,,Ball,0.6,7.2,20.0,50,65,90,35,35,15,290,48.33,24.09,190,2,70,58,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Bagworm ,Bug,,20,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
205,Forretress,Bug,Steel,Ball,1.2,125.8,87.4,75,90,140,60,60,40,465,77.5,31.85,75,2,70,163,Medium Fast,1000000,False,Pineco,True,False,True,False,False,False,False,False,False,False,0.5,Bagworm ,Bug,,20,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
206,Dunsparce,Normal,,Squiggle,1.5,14.0,6.2,100,70,70,65,65,45,415,69.17,16.18,190,2,70,145,Medium Fast,1000000,False,,True,False,True,False,False,False,False,False,False,False,0.5,Land Snake ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
207,Gligar,Ground,Flying,Wings,1.1,64.8,53.6,65,75,105,35,65,85,430,71.67,21.34,60,2,70,86,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.5,Fly Scorpion ,Bug,,20,1.0,1.0,2.0,0.0,1.0,4.0,0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0
208,Mega Steelix,Steel,Ground,Squiggle,10.5,740.0,6.7,75,125,230,55,95,30,610,101.67,64.66,25,6,70,214,Medium Fast,1000000,False,Onix,True,True,False,False,False,False,True,False,False,False,0.5,Iron Snake ,Mineral,,25,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
208,Steelix,Steel,Ground,Squiggle,9.2,400.0,4.7,75,85,200,55,65,30,510,85.0,54.24,25,2,70,179,Medium Fast,1000000,False,Onix,True,False,True,False,False,False,True,False,False,False,0.5,Iron Snake ,Mineral,,25,0.5,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2.0,0.5,0.5,0.5,0.25,1.0,0.5,1.0,0.5,0.5
209,Snubbull,Fairy,,Humanoid,0.6,7.8,21.7,60,80,50,40,40,30,300,50.0,16.33,190,2,70,60,Fast,800000,True,,False,False,True,False,False,False,False,False,False,False,0.75,Fairy ,Field,Fairy,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
210,Granbull,Fairy,,Upright,1.4,48.7,24.8,90,120,75,60,60,45,450,75.0,24.49,75,2,70,158,Fast,800000,False,Snubbull,True,False,True,False,False,False,False,False,False,False,0.75,Fairy ,Field,Fairy,20,1.0,1.0,1.0,1.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.0,0.5,2.0,1.0
211,Qwilfish,Water,Poison,Fish,0.5,3.9,15.6,65,95,85,55,55,85,440,73.33,15.72,45,2,70,88,Medium Fast,1000000,False,,True,False,True,False,False,False,False,False,False,False,0.5,Balloon ,Water 2,,20,1.0,0.5,0.5,2.0,1.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5
212,Mega Scizor,Bug,Steel,Bug-Wings,2.0,125.0,31.3,70,150,140,65,100,75,600,100.0,33.79,25,6,70,210,Medium Fast,1000000,False,Scyther,True,True,False,False,False,False,True,False,False,False,0.5,Pincer ,Bug,,25,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
212,Scizor,Bug,Steel,Bug-Wings,1.8,118.0,36.4,70,130,100,55,80,65,500,83.33,25.11,25,2,70,175,Medium Fast,1000000,False,Scyther,True,False,True,False,False,False,True,False,False,False,0.5,Pincer ,Bug,,25,0.5,4.0,1.0,1.0,0.25,0.5,1.0,0.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5
213,Shuckle,Bug,Rock,Armor,0.6,20.5,56.9,20,10,230,10,230,5,505,84.17,103.22,190,2,70,177,Medium Slow,1059860,False,,True,False,True,False,False,False,False,False,False,False,0.5,Mold ,Bug,,20,0.5,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0
214,Heracross,Bug,Fighting,Humanoid,1.5,54.0,24.0,80,125,75,40,95,85,500,83.33,25.28,45,2,70,175,Slow,1250000,False,,True,False,True,False,False,False,True,False,False,False,0.5,Single Horn ,Bug,,25,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
214,Mega Heracross,Bug,Fighting,Humanoid,1.7,62.5,21.6,80,185,115,40,105,75,600,100.0,44.91,45,6,70,210,Slow,1250000,False,,True,True,False,False,False,False,True,False,False,False,0.5,Single Horn ,Bug,,25,1.0,2.0,1.0,1.0,0.5,1.0,0.5,1.0,0.5,4.0,2.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0
215,Sneasel,Dark,Ice,Upright,0.9,28.0,34.6,55,95,55,35,75,115,430,71.67,26.87,60,2,35,86,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.5,Sharp Claw ,Field,,20,1.0,2.0,1.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,0.0,2.0,2.0,0.5,1.0,0.5,2.0,2.0
216,Teddiursa,Normal,,Upright,0.6,8.8,24.4,60,80,50,50,50,40,330,55.0,12.58,120,2,70,66,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Little Bear ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
217,Ursaring,Normal,,Upright,1.8,125.8,38.8,90,130,75,75,75,55,500,83.33,23.21,60,2,70,175,Medium Fast,1000000,False,Teddiursa,True,False,True,False,False,False,False,False,False,False,0.5,Hibernator ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
218,Slugma,Fire,,Squiggle,0.7,35.0,71.4,40,40,40,70,40,20,250,41.67,14.62,190,2,70,50,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Lava ,Amorphous,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
219,Magcargo,Fire,Rock,Squiggle,0.8,55.0,85.9,60,50,120,90,80,30,430,71.67,29.11,75,2,70,151,Medium Fast,1000000,False,Slugma,True,False,True,False,False,False,False,False,False,False,0.5,Lava ,Amorphous,,20,0.5,0.25,4.0,1.0,1.0,0.5,2.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,0.5
220,Swinub,Ice,Ground,Quadruped,0.4,6.5,40.6,50,50,40,30,30,50,250,41.67,8.98,225,2,70,50,Slow,1250000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Pig ,Field,,20,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
221,Piloswine,Ice,Ground,Quadruped,1.1,55.8,46.1,100,100,80,60,60,50,450,75.0,19.79,75,2,70,158,Slow,1250000,True,Swinub,False,False,True,False,False,False,False,False,False,False,0.5,Swine ,Field,,20,1.0,2.0,2.0,0.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
222,Corsola,Water,Rock,Armor,0.6,5.0,13.9,65,55,95,65,95,35,410,68.33,21.34,60,2,70,144,Fast,800000,True,,True,False,True,False,False,False,False,False,False,False,0.75,Coral ,Water 1,Water 3,20,0.5,0.25,1.0,2.0,4.0,0.5,2.0,0.5,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
222,Galarian Corsola,Ghost,,Armor,0.6,0.5,1.4,60,55,100,65,100,30,410,68.33,24.94,60,8,70,144,Fast,800000,True,,False,False,False,False,False,True,False,False,False,False,0.75,Coral ,Water 1,Water 3,20,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0
223,Remoraid,Water,,Fish,0.6,12.0,33.3,35,65,35,65,35,65,300,50.0,15.0,190,2,70,60,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Jet ,Water 1,Water 2,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
224,Octillery,Water,,Tentacles,0.9,28.5,35.2,75,105,75,105,75,45,480,80.0,20.62,75,2,70,168,Medium Fast,1000000,False,Remoraid,True,False,True,False,False,False,False,False,False,False,0.5,Jet ,Water 1,Water 2,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
225,Delibird,Ice,Flying,Wings,0.9,16.0,19.8,45,55,45,65,45,75,330,55.0,11.55,45,2,70,116,Fast,800000,False,,True,False,True,False,False,False,False,False,False,False,0.5,Delivery ,Water 1,Field,20,1.0,2.0,1.0,2.0,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.5,4.0,1.0,1.0,1.0,2.0,1.0
226,Mantine,Water,Flying,Wings,2.1,220.0,49.9,85,40,70,80,140,70,485,80.83,30.06,25,2,70,170,Slow,1250000,False,Mantyke,True,False,True,False,False,False,False,False,False,False,0.5,Kite ,Water 1,,25,1.0,0.5,0.5,4.0,1.0,1.0,0.5,1.0,0.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,1.0
227,Skarmory,Steel,Flying,Wings,1.7,50.5,17.5,65,80,140,40,70,70,465,77.5,30.52,25,2,70,163,Slow,1250000,False,,True,False,True,False,False,False,False,False,False,False,0.5,Armor Bird ,Flying,,25,0.5,2.0,1.0,2.0,0.25,1.0,1.0,0.0,0.0,0.5,0.5,0.25,1.0,1.0,0.5,1.0,0.5,0.5
228,Houndour,Dark,Fire,Quadruped,0.6,10.8,30.0,45,60,30,80,50,65,330,55.0,15.81,120,2,35,66,Slow,1250000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Dark ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
229,Houndoom,Dark,Fire,Quadruped,1.4,35.0,17.9,75,90,50,110,80,95,500,83.33,18.63,45,2,35,175,Slow,1250000,False,Houndour,True,False,True,False,False,False,True,False,False,False,0.5,Dark ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
229,Mega Houndoom,Dark,Fire,Quadruped,1.9,49.5,13.7,75,90,90,140,90,115,600,100.0,21.41,45,6,35,210,Slow,1250000,False,Houndour,True,True,False,False,False,False,True,False,False,False,0.5,Dark ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,0.0,1.0,2.0,0.5,1.0,0.5,0.5,1.0
230,Kingdra,Water,Dragon,Blob,1.8,152.0,46.9,75,95,95,95,95,85,540,90.0,7.64,45,2,70,243,Medium Fast,1000000,False,Seadra,True,False,True,False,False,False,False,False,False,False,0.5,Dragon ,Water 1,Dragon,20,1.0,0.25,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0
231,Phanpy,Ground,,Quadruped,0.5,33.5,134.0,90,60,60,40,40,40,330,55.0,18.03,120,2,70,66,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Long Nose ,Field,,20,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
232,Donphan,Ground,,Quadruped,1.1,120.0,99.2,90,120,120,60,60,50,500,83.33,28.67,60,2,70,175,Medium Fast,1000000,False,Phanpy,True,False,True,False,False,False,False,False,False,False,0.5,Armor ,Field,,20,1.0,1.0,2.0,0.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0
233,Porygon2,Normal,,Legs,0.6,32.5,90.3,85,80,90,105,95,60,515,85.83,13.97,45,2,70,180,Medium Fast,1000000,True,Porygon,False,False,True,False,False,False,False,False,False,True,0.0,Virtual ,Mineral,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
234,Stantler,Normal,,Quadruped,1.4,71.2,36.3,73,95,62,85,65,85,465,77.5,11.8,45,2,70,163,Slow,1250000,False,,True,False,True,False,False,False,False,False,False,False,0.5,Big Horn ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
235,Smeargle,Normal,,Upright,1.2,58.0,40.3,55,20,35,20,45,75,250,41.67,19.51,45,2,70,88,Fast,800000,False,,True,False,True,False,False,False,False,False,False,False,0.5,Painter ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
236,Tyrogue,Fighting,,Humanoid,0.7,21.0,42.9,35,35,35,35,35,35,210,35.0,0.0,75,2,70,42,Medium Fast,1000000,True,,False,False,True,True,False,False,False,False,False,False,0.0,Scuffle ,Undiscovered,,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
237,Hitmontop,Fighting,,Upright,1.4,48.0,24.5,50,95,95,35,110,70,455,75.83,26.68,45,2,70,159,Medium Fast,1000000,False,Tyrogue,True,False,True,False,False,False,False,False,False,False,0.0,Handstand ,Human-Like,,25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0
238,Smoochum,Ice,Psychic,Humanoid,0.4,6.0,37.5,45,30,15,85,65,65,305,50.83,23.53,45,2,70,61,Medium Fast,1000000,True,,False,False,True,True,False,False,False,False,False,False,1.0,Kiss ,Undiscovered,,25,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,2.0,2.0,2.0,1.0,2.0,2.0,1.0
239,Elekid,Electric,,Humanoid,0.6,23.5,65.3,45,63,37,65,55,95,360,60.0,18.43,45,2,70,72,Medium Fast,1000000,True,,False,False,True,True,False,False,False,False,False,False,0.25,Electric ,Undiscovered,,25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
240,Magby,Fire,,Upright,0.7,21.4,43.7,45,75,37,70,55,83,365,60.83,16.48,45,2,70,73,Medium Fast,1000000,True,,False,False,True,True,False,False,False,False,False,False,0.25,Live Coal ,Undiscovered,,25,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
241,Miltank,Normal,,Upright,1.2,75.5,52.4,95,80,105,40,70,100,490,81.67,22.11,45,2,70,172,Slow,1250000,False,,True,False,True,False,False,False,False,False,False,False,1.0,Milk Cow ,Field,,20,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
242,Blissey,Normal,,Humanoid,1.5,46.8,20.8,255,10,10,75,135,55,540,90.0,85.15,30,2,140,608,Fast,800000,False,Chansey,True,False,True,False,False,False,False,False,False,False,1.0,Happiness ,Fairy,,40,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
243,Raikou,Electric,,Quadruped,1.9,178.0,49.3,90,85,75,115,100,115,580,96.67,14.91,3,2,35,261,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Thunder ,Undiscovered,,80,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
244,Entei,Fire,,Quadruped,2.1,198.0,44.9,115,115,85,90,75,100,580,96.67,14.91,3,2,35,261,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Volcano ,Undiscovered,,80,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
245,Suicune,Water,,Quadruped,2.0,187.0,46.8,100,75,115,90,115,85,580,96.67,14.91,3,2,35,261,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Aurora ,Undiscovered,,80,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
246,Larvitar,Rock,Ground,Upright,0.6,72.0,200.0,50,64,50,45,50,41,300,50.0,7.09,45,2,35,60,Slow,1250000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Rock Skin ,Monster,,40,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
247,Pupitar,Rock,Ground,Squiggle,1.2,152.0,105.6,70,84,70,65,70,51,410,68.33,9.71,45,2,35,144,Slow,1250000,True,Larvitar,False,False,True,False,False,False,False,False,False,False,0.5,Hard Shell ,Monster,,40,0.5,0.5,4.0,0.0,4.0,2.0,2.0,0.25,2.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,2.0,1.0
248,Mega Tyranitar,Rock,Dark,Upright,2.5,255.0,40.8,100,164,150,95,120,71,700,116.67,32.13,45,6,35,315,Slow,1250000,False,Pupitar,True,True,False,False,False,False,True,False,False,False,0.5,Armor ,Monster,,40,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
248,Tyranitar,Rock,Dark,Upright,2.0,202.0,50.5,100,134,110,95,100,61,600,100.0,21.61,45,2,35,270,Slow,1250000,False,Pupitar,True,False,True,False,False,False,True,False,False,False,0.5,Armor ,Monster,,40,0.5,0.5,2.0,1.0,2.0,1.0,4.0,0.5,2.0,0.5,0.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0
249,Lugia,Psychic,Flying,Wings,5.2,216.0,8.0,106,90,130,90,154,110,680,113.33,22.68,3,2,0,306,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Diving ,Undiscovered,,120,1.0,1.0,1.0,2.0,0.5,2.0,0.25,1.0,0.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0
250,Ho-Oh,Fire,Flying,Wings,3.8,199.0,13.8,106,130,90,110,154,90,680,113.33,22.68,3,2,0,306,Slow,1250000,False,,True,False,True,False,False,False,False,True,False,True,0.0,Rainbow ,Undiscovered,,120,1.0,0.5,2.0,2.0,0.25,1.0,0.5,1.0,0.0,1.0,1.0,0.25,4.0,1.0,1.0,1.0,0.5,0.5
251,Celebi,Psychic,Grass,Humanoid,0.6,5.0,13.9,100,100,100,100,100,100,600,100.0,0.0,45,2,100,270,Medium Slow,1059860,False,,True,False,True,False,False,False,False,False,True,True,0.0,Time Travel ,Undiscovered,,120,1.0,2.0,0.5,0.5,0.5,2.0,0.5,2.0,0.5,2.0,0.5,4.0,1.0,2.0,1.0,2.0,1.0,1.0
252,Treecko,Grass,,Upright,0.5,5.0,20.0,40,45,35,65,55,70,310,51.67,12.8,45,3,70,62,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Wood Gecko ,Monster,Dragon,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
253,Grovyle,Grass,,Upright,0.9,21.6,26.7,50,65,45,85,65,95,405,67.5,17.74,45,3,70,142,Medium Slow,1059860,True,Treecko,False,False,True,False,False,False,False,False,False,False,0.125,Wood Gecko ,Monster,Dragon,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
254,Mega Sceptile,Grass,Dragon,Upright,1.9,55.2,15.3,70,110,75,145,85,145,630,105.0,30.96,45,6,70,284,Medium Slow,1059860,False,Grovyle,True,True,False,False,False,False,True,False,False,False,0.125,Forest ,Monster,Dragon,20,1.0,1.0,0.25,0.25,0.25,4.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0
254,Sceptile,Grass,,Upright,1.7,52.2,18.1,70,85,65,105,85,120,530,88.33,19.08,45,3,70,239,Medium Slow,1059860,False,Grovyle,True,False,True,False,False,False,True,False,False,False,0.125,Forest ,Monster,Dragon,20,1.0,2.0,0.5,0.5,0.5,2.0,1.0,2.0,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
255,Torchic,Fire,,Legs,0.4,2.5,15.6,45,60,40,70,50,45,310,51.67,10.27,45,3,70,62,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Chick ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,0.5,0.5
256,Combusken,Fire,Fighting,Upright,0.9,19.5,24.1,60,85,60,85,60,55,405,67.5,12.5,45,3,70,142,Medium Slow,1059860,True,Torchic,False,False,True,False,False,False,False,False,False,False,0.125,Young Fowl ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,Blaziken,Fire,Fighting,Upright,1.9,52.0,14.4,80,120,70,110,70,80,530,88.33,19.51,45,3,70,239,Medium Slow,1059860,False,Combusken,True,False,True,False,False,False,True,False,False,False,0.125,Blaze ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
257,Mega Blaziken,Fire,Fighting,Upright,1.9,52.0,14.4,80,160,80,130,80,100,630,105.0,30.41,45,6,70,284,Medium Slow,1059860,False,Combusken,True,True,False,False,False,False,True,False,False,False,0.125,Blaze ,Field,,20,1.0,0.5,2.0,1.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,0.25,1.0,1.0,1.0,0.5,0.5,1.0
258,Mudkip,Water,,Quadruped,0.4,7.6,47.5,50,70,50,50,50,40,310,51.67,8.98,45,3,70,62,Medium Slow,1059860,True,,False,False,True,False,False,False,False,False,False,False,0.125,Mud Fish ,Monster,Water 1,20,1.0,0.5,0.5,2.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0
259,Marshtomp,Water,Ground,Upright,0.7,28.0,57.1,70,85,70,60,70,50,405,67.5,10.7,45,3,70,142,Medium Slow,1059860,True,Mudkip,False,False,True,False,False,False,False,False,False,False,0.125,Mud Fish ,Monster,Water 1,20,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
260,Mega Swampert,Water,Ground,Upright,1.9,102.0,28.3,100,150,110,95,110,70,635,105.83,23.88,45,6,70,286,Medium Slow,1059860,False,Marshtomp,True,True,False,False,False,False,True,False,False,False,0.125,Mud Fish ,Monster,Water 1,20,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
260,Swampert,Water,Ground,Upright,1.5,81.9,36.4,100,110,90,85,90,60,535,89.17,15.39,45,3,70,241,Medium Slow,1059860,False,Marshtomp,True,False,True,False,False,False,True,False,False,False,0.125,Mud Fish ,Monster,Water 1,20,1.0,0.5,1.0,0.0,4.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0
261,Poochyena,Dark,,Quadruped,0.5,13.6,54.4,35,55,35,30,30,35,220,36.67,8.5,255,3,70,56,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Bite ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
262,Mightyena,Dark,,Quadruped,1.0,37.0,37.0,70,90,70,60,60,70,420,70.0,10.0,127,3,70,147,Medium Fast,1000000,False,Poochyena,True,False,True,False,False,False,False,False,False,False,0.5,Bite ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0
263,Galarian Zigzagoon,Dark,Normal,Quadruped,0.4,17.5,109.4,38,30,41,30,41,60,240,40.0,10.05,255,8,70,56,Medium Fast,1000000,True,,False,False,False,False,False,True,False,False,False,False,0.5,Tiny Raccoon ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.5,1.0,2.0
263,Zigzagoon,Normal,,Quadruped,0.4,17.5,109.4,38,30,41,30,41,60,240,40.0,10.05,255,3,70,56,Medium Fast,1000000,True,,False,False,True,False,False,False,False,False,False,False,0.5,Tiny Raccoon ,Field,,15,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
